Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,Lemmatized_Tweets,Clean_Tweets,Cleaned_Tweet_Emojified,Label
TopPost,#paris2024,08-08-2024,Olympic Legends. #USABMNT #Paris2024 #Basketball,7600,52000,3200000,olympic legend usabmnt paris2024 basketball,"['olympic', 'legend', 'usabmnt', 'paris2024', 'basketball']",olympic legend usabmnt paris2024 basketball,non-hate
TopPost,#paris2024,08-08-2024,#OLYMPICRECORD FOR RIZKI JUNIANSYAH! @iwfnet | #Weightlifting | #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,9300,14000,377000,olympicrecord rizki juniansyah iwfnet weightlifting paris2024 omega omegaofficialtimekeeper,"['olympicrecord', 'rizki', 'juniansyah', 'iwfnet', 'weightlifting', 'paris2024', 'omega', 'omegaofficialtimekeeper']",olympicrecord rizki juniansyah iwfnet weightlifting paris2024 omega omegaofficialtimekeeper,non-hate
TopPost,#paris2024,08-08-2024,Men's javelin throw final was BIG  92.97m OR Arshad Nadeem   89.45m @Neeraj_chopra1   88.54m Anderson Peters  #Paris2024 #Olympics,2000,11000,205000,men javelin throw final big arshad nadeem neerajchopra1 anderson peter paris2024 olympics,"['men', 'javelin', 'throw', 'final', 'big', 'arshad', 'nadeem', 'neerajchopra1', 'anderson', 'peter', 'paris2024', 'olympics']",men javelin throw final big arshad nadeem neerajchopra1 anderson peter paris2024 olympics,non-hate
TopPost,#paris2024,08-08-2024,WHAT A TIME TO BE ALIVE.  #USABMNT #Paris2024 #Basketball,4600,29000,925000,time alive usabmnt paris2024 basketball,"['time', 'alive', 'usabmnt', 'paris2024', 'basketball']",time alive usabmnt paris2024 basketball,non-hate
TopPost,#parisolympics,07-08-2024,Quincy HallÃ¢Â€Â™s effort down the stretch to win Olympic gold deserves its own medal.  #ParisOlympics,3000,23000,2200000,quincy hall effort stretch win olympic gold deserves medal parisolympics,"['quincy', 'hall', 'effort', 'stretch', 'win', 'olympic', 'gold', 'deserves', 'medal', 'parisolympics']",quincy hall effort stretch 🏆 olympic 🥇 deserves 🏅 parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,ThereÃ¢Â€Â™s NO catching Sydney McLaughlin-Levrone!She adds ANOTHER 400m hurdles gold medal and WORLD RECORD to her collection. #ParisOlympics,6300,22000,1500000,there catching sydney mclaughlinlevroneshe add hurdle gold medal world record collection parisolympics,"['there', 'catching', 'sydney', 'mclaughlinlevroneshe', 'add', 'hurdle', 'gold', 'medal', 'world', 'record', 'collection', 'parisolympics']",there catching sydney mclaughlinlevroneshe add hurdle 🥇 🏅 🌎 📈 collection parisolympics,non-hate
TopPost,#parisolympics,09-08-2024,Sydney McLaughlin-Levrone breaks the world record and wins back-to-back golds in the womenÃ¢Â€Â™s 400m hurdles for team USA! #ParisOlympics,175,646648,4850000,sydney mclaughlinlevrone break world record win backtoback gold woman hurdle team usa parisolympics,"['sydney', 'mclaughlinlevrone', 'break', 'world', 'record', 'win', 'backtoback', 'gold', 'woman', 'hurdle', 'team', 'usa', 'parisolympics']",sydney mclaughlinlevrone break 🌎 📈 🏆 backtoback 🥇 woman hurdle 👥 usa parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,For everyone wondering what the track and field Olympic medal count looks like in disappoint #ParisOlympics,3400,20000,876000,everyone wondering track field olympic medal count look in disappoint parisolympics,"['everyone', 'wondering', 'track', 'field', 'olympic', 'medal', 'count', 'look','disappoint', 'parisolympics']","everyone wondering track field olympic 🏅 count look,disappoint parisolympics",hate
TopPost,#parisolympics,08-08-2024,The jump that won Tara Davis-Woodhall her FIRST Olympic long jump GOLD MEDAL.  #ParisOlympics,1600,14000,591000,jump tara daviswoodhall first olympic long jump gold medal parisolympics,"['jump', 'tara', 'daviswoodhall', 'first', 'olympic', 'long', 'jump', 'gold', 'medal', 'parisolympics']",jump tara daviswoodhall first olympic long jump 🥇 🏅 parisolympics,non-hate
TopPost,#paris2024,08-08-2024,#OLYMPICRECORD FOR RIZKI JUNIANSYAH! @iwfnet | #Weightlifting | #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,9300,14000,378000,olympicrecord rizki juniansyah iwfnet weightlifting paris2024 omega omegaofficialtimekeeper,"['olympicrecord', 'rizki', 'juniansyah', 'iwfnet', 'weightlifting', 'paris2024', 'omega', 'omegaofficialtimekeeper']",olympicrecord rizki juniansyah iwfnet weightlifting paris2024 omega omegaofficialtimekeeper,non-hate
TopPost,#paris2024,08-08-2024,We don't play for Bronze. #USABMNT #Paris2024 #Basketball,4700,36000,3000000,dont play bronze usabmnt paris2024 basketball,"['dont', 'play', 'bronze', 'usabmnt', 'paris2024', 'basketball']",dont play bronze usabmnt paris2024 basketball,non-hate
TopPost,#paris2024,08-08-2024,The pakistani Arshad Nadeem shatters the Olympic javelin record with a throw of 92.97m on his second attempt .#Paris2024 Getty Images/Julian Finney,6800,22000,456000,pakistani arshad nadeem shatters olympic javelin record throw second attempt paris2024 getty imagesjulian finney,"['pakistani', 'arshad', 'nadeem', 'shatters', 'olympic', 'javelin', 'record', 'throw', 'second', 'attempt', 'paris2024', 'getty', 'imagesjulian', 'finney']",pakistani arshad nadeem shatters olympic javelin 📈 throw second attempt paris2024 getty imagesjulian finney,non-hate
TopPost,#paris2024,08-08-2024,LETSILE TEBOGO IS THE OLYMPIC 200M CHAMP 's Letsile Tebogo powers to the gold with a 19.46 AREA RECORD #Paris2024 #Olympics,13000,38000,1600000,letsile tebogo olympic champ letsile tebogo power gold area record paris2024 olympics,"['letsile', 'tebogo', 'olympic', 'champ', 'letsile', 'tebogo', 'power', 'gold', 'area', 'record', 'paris2024', 'olympics']",letsile tebogo olympic champ letsile tebogo power 🥇 area 📈 paris2024 olympics,non-hate
TopPost,#paris2024,08-08-2024,#OLYMPICRECORD FOR ARSHAD NADEEM! @Worldathletics | #Athletics #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,2800,9000,197000,olympicrecord arshad nadeem worldathletics athletics paris2024 omega omegaofficialtimekeeper,"['olympicrecord', 'arshad', 'nadeem', 'worldathletics', 'athletics', 'paris2024', 'omega', 'omegaofficialtimekeeper']",olympicrecord arshad nadeem worldathletics athletics paris2024 omega omegaofficialtimekeeper,non-hate
TopPost,#paris2024,08-08-2024,A night we'll never forget. @KDTrey5 on the comeback win over  Serbia #USABMNT #Paris2024 #Basketball,3600,23000,1300000,night well never forget kdtrey5 comeback win serbia usabmnt paris2024 basketball,"['night', 'well', 'never', 'forget', 'kdtrey5', 'comeback', 'win', 'serbia', 'usabmnt', 'paris2024', 'basketball']",night well never forget kdtrey5 comeback 🏆 serbia usabmnt paris2024 basketball,non-hate
TopPost,#olympics2024,08-08-2024,How it is unfair Said #Olympics2024,957,1800,89000,How unfair said olympics2024,"['unfair', 'said', 'olympics2024']",unfair said olympics2024,hate
TopPost,#olympics2024,06-08-2024,Congratulations #VineshPhogat for reaching the final in #Olympics2024 #wrestling.. What will the #PM say to her once she wins the medal after what she went through fighting for justice few months back..,0,11,3000,congratulation vineshphogat reaching final olympics2024 wrestling pm say win medal went fighting justice month back,"['congratulation', 'vineshphogat', 'reaching', 'final', 'olympics2024', 'wrestling', 'pm', 'say', 'win', 'medal', 'went', 'fighting', 'justice', 'month', 'back']",congratulation vineshphogat reaching final olympics2024 wrestling pm say 🏆 🏅 went fighting justice month back,non-hate
TopPost,#olympics2024,04-08-2024,Wow. Just wow. Noah Lyles wins by microns. #olympics2024,4,19,49000,wow wow noah lyles win micron olympics2024,"['wow', 'wow', 'noah', 'lyles', 'win', 'micron', 'olympics2024']",wow wow noah lyles 🏆 micron olympics2024,non-hate
TopPost,#olympics2024,08-08-2024,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the menÃ¢Â€Â™s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,2800,25000,397000,huge applause arshad nadeem neeraj chopra bringing goldand silver men javelin throw olympics south asiayour incredible achievement make entire region proudarashadnadeem neerajchopra olympics2024,"['huge', 'applause', 'arshad', 'nadeem', 'neeraj', 'chopra', 'bringing', 'goldand', 'silver', 'men', 'javelin', 'throw', 'olympics', 'south', 'asiayour', 'incredible', 'achievement', 'make', 'entire', 'region', 'proudarashadnadeem', 'neerajchopra', 'olympics2024']",huge applause arshad nadeem neeraj chopra bringing goldand silver men javelin throw olympics south asiayour incredible achievement make entire region proudarashadnadeem neerajchopra olympics2024,non-hate
TopPost,#olympics2024,05-08-2024,The CAMPEST sport of the Olympics! Love it #Olympics2024 #artisticswimming,8,63,16000,campest sport olympics love artisticswimming,"['campest', 'sport', 'olympics', 'love', 'artisticswimming']",campest sport olympics love artisticswimming,non-hate
TopPost,#olympics2024,06-08-2024,Imagine walking for hours just to lose because of celebrating too early#Olympics2024,6,16,3600,imagine walking hour lose celebrating earlyolympics2024,"['imagine', 'walking', 'hour', 'lose', 'celebrating', 'earlyolympics2024']",imagine walking hour lose celebrating earlyolympics2024,hate
TopPost,#olympics2024,03-08-2024,We demand this sports in #Olympics2024,15,39,5000,demand sport olympics2024,"['demand', 'sport', 'olympics2024']",demand sport olympics2024,non-hate
TopPost,#parisolympics,09-08-2024,Sydney McLaughlin-Levrone breaks the world record and wins back-to-back golds in the womenÃ¢Â€Â™s 400m hurdles for team USA! #ParisOlympics,177,651,50000,sydney mclaughlinlevrone break world record win backtoback gold woman hurdle team usa parisolympics,"['sydney', 'mclaughlinlevrone', 'break', 'world', 'record', 'win', 'backtoback', 'gold', 'woman', 'hurdle', 'team', 'usa', 'parisolympics']",sydney mclaughlinlevrone break 🌎 📈 🏆 backtoback 🥇 woman hurdle 👥 usa parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,The jump that won Tara Davis-Woodhall her FIRST Olympic long jump GOLD MEDAL.  #ParisOlympics,1600,14000,592000,jump tara daviswoodhall first olympic long jump gold medal parisolympics,"['jump', 'tara', 'daviswoodhall', 'first', 'olympic', 'long', 'jump', 'gold', 'medal', 'parisolympics']",jump tara daviswoodhall first olympic long jump 🥇 🏅 parisolympics,non-hate
TopPost,#parisolympics,09-08-2024,THE CROWN SHE DESERVES WAS SO PATHETIC.  #ParisOlympics,73,542,7200,crown deserves pathetic parisolympics,"['crown', 'deserves', 'parisolympics']",crown deserves parisolympics,non-hate
TopPost,#parisolympics,08-08-2024,"""This is the most fun I've had in a very long time.""Stephen Curry reflects on Team USA's comeback win after his phenomenal performance. #ParisOlympics",786,6300,375000,fun ive long timestephen curry reflects team usa comeback win phenomenal performance parisolympics,"['fun', 'ive', 'long', 'timestephen', 'curry', 'reflects', 'team', 'usa', 'comeback', 'win', 'phenomenal', 'performance', 'parisolympics']",fun ive long timestephen curry reflects 👥 usa comeback 🏆 phenomenal performance parisolympics,non-hate
TopPost,#parisolympics,09-08-2024,Like this video if you cry every time.  #ParisOlympics,84,894,28000,video cry time parisolympics,"['video', 'cry', 'time', 'parisolympics']",video cry time parisolympics,non-hate
TopPost,#paris2024,08-08-2024,This is Avengers in real life.#Paris2024 x #Basketball,906,6500,179000,avenger real lifeparis2024 x basketball,"['avenger', 'real', 'lifeparis2024', 'x', 'basketball']",avenger real lifeparis2024 x basketball,non-hate
TopPost,#paris2024,08-08-2024,"Like mother, like son The Chopra family is a class act! #Paris2024 | #OlympicGames",361,2300,39000,mother son chopra family class act paris2024 olympicgames,"['mother', 'son', 'chopra', 'family', 'class', 'act', 'paris2024', 'olympicgames']",mother son chopra family class act paris2024 olympicgames,non-hate
TopPost,#paris2024,08-08-2024,"#Gold and an #OLYMPICRECORD! Rizki Juniansyah dominates, winning #gold for Indonesia in weightlifting men's 73kg.@NOCIndonesia1 | @iwfnet | #Weightlifting | #Paris2024 | #Samsung | #TogetherforTomorrow",4600,6100,230000,gold olympicrecord rizki juniansyah dominates winning gold indonesia weightlifting men iwfnet weightlifting paris2024 samsung togetherfortomorrow,"['gold', 'olympicrecord', 'rizki', 'juniansyah', 'dominates', 'winning', 'gold', 'indonesia', 'weightlifting', 'men', 'iwfnet', 'weightlifting', 'paris2024', 'samsung', 'togetherfortomorrow']",🥇 olympicrecord rizki juniansyah dominates winning 🥇 indonesia weightlifting men iwfnet weightlifting paris2024 samsung togetherfortomorrow,non-hate
