Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,Lemmatized_Tweets,Clean_Tweets,Cleaned_Tweet_Emojified,Label,Hate_Keyword_Flag,Sentiment,Label_Validation
TopPost,#paris2024,08-08-2024,Letsile Tebogo puts Botswana on top of the world  Stream #Paris2024 live: https://tinyurl.com/4wrtdwtb  #CloserToYourChampions,1900,4600,152000,letsile tebogo put top world stream paris2024 live closertoyourchampions,"['letsile', 'tebogo', 'put', 'top', 'world', 'stream', 'paris2024', 'live', 'closertoyourchampions']",letsile tebogo put top 🌎 stream paris2024 live closertoyourchampions,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-05-2024,"LOL VAR mana #TimnasDay  kena aja kagak, dilanggar pun diluar kotak penalti.... lahh malah wasit ngasih penalti.. haiyaa .. pinter akting babang guinea nya#idnvsgui23 #indonesiau23 #Olympics2024",2500,6800,732000,lol var mana timnasday kena aja kagak dilanggar pun diluar kotak penalti lahh malah wasit ngasih penalti haiyaa pinter akting babang guinea nyaidnvsgui23 indonesiau23 olympics2024,"['lol', 'var', 'mana', 'timnasday', 'kena', 'aja', 'kagak', 'dilanggar', 'pun', 'diluar', 'kotak', 'penalti', 'lahh', 'malah', 'wasit', 'ngasih', 'penalti', 'haiyaa', 'pinter', 'akting', 'babang', 'guinea', 'nyaidnvsgui23', 'indonesiau23', 'olympics2024']",lol var mana timnasday kena aja kagak dilanggar pun diluar kotak penalti lahh malah wasit ngasih penalti haiyaa pinter akting babang guinea nyaidnvsgui23 indonesiau23 olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,#ParisOlympics2024: IOC Member Nita Ambani reacts on Vinesh Phogat's Disqualification issue Entire nation shares Vinesh's heartbreak and pain says Nita Ambani News18's @ShivaniGupta_5 with latest updates @akankshaswarups | #VineshPhogat #Olympics2024 #Wrestling,1,6,5400,parisolympics2024 ioc member nita ambani reacts vinesh phogats disqualification issue entire nation share heartbreak pain say nita ambani news18s shivanigupta5 latest update akankshaswarups vineshphogat wrestling,"['parisolympics2024', 'ioc', 'member', 'nita', 'ambani', 'reacts', 'vinesh', 'phogats', 'disqualification', 'issue', 'entire', 'nation', 'share', 'heartbreak', 'pain', 'say', 'nita', 'ambani', 'news18s', 'shivanigupta5', 'latest', 'update', 'akankshaswarups', 'vineshphogat', 'wrestling']",parisolympics2024 ioc member nita ambani reacts vinesh phogats disqualification issue entire nation share heartbreak pain say nita ambani news18s shivanigupta5 latest update akankshaswarups vineshphogat wrestling,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-08-2024,We love you #ArshadNadeem Thank you  #PakistanZindabad after a wait of 40 long years Pakistan has won a Gold medal in Olympics Proud of You Arshad Nadeem! #goldenclash #olympics2024 #Pakistan #india #olympicgames #Paris2024 #ArshadNadeem,1,0,173,love arshadnadeem thank pakistanzindabad wait long year pakistan gold medal olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,"['love', 'arshadnadeem', 'thank', 'pakistanzindabad', 'wait', 'long', 'year', 'pakistan', 'gold', 'medal', 'olympics', 'proud', 'arshad', 'nadeem', 'goldenclash', 'olympics2024', 'india', 'olympicgames', 'paris2024', 'arshadnadeem']",love arshadnadeem thank pakistanzindabad wait long year pakistan 🥇 🏅 olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,09-08-2024,We love you #ArshadNadeem Thank you  #PakistanZindabad after a wait of 40 long years Pakistan has won a Gold medal in Olympics Proud of You Arshad Nadeem! #goldenclash #olympics2024 #Pakistan #india #olympicgames #Paris2024 #ArshadNadeem,1,0,173,love arshadnadeem thank pakistanzindabad wait long year pakistan gold medal olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,"['love', 'arshadnadeem', 'thank', 'pakistanzindabad', 'wait', 'long', 'year', 'pakistan', 'gold', 'medal', 'olympics', 'proud', 'arshad', 'nadeem', 'goldenclash', 'olympics2024', 'india', 'olympicgames', 'paris2024', 'arshadnadeem']",love arshadnadeem thank pakistanzindabad wait long year pakistan 🥇 🏅 olympics proud arshad nadeem goldenclash olympics2024 india olympicgames paris2024 arshadnadeem,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,28-02-2024,What better way to celebrate #WomensHistoryMonth & the approaching #Paris2024 Olympics than listening to 5 outstanding athletes share their stories.. many of which embrace #failure as a point of learning & champion taking smart risks to grow! Register: https://bit.ly/3OXmKA7,11,21,2200,better way celebrate womenshistorymonth approaching paris2024 olympics listening outstanding athlete share story many embrace failure point learning champion taking smart risk grow register,"['better', 'way', 'celebrate', 'womenshistorymonth', 'approaching', 'paris2024', 'olympics', 'listening', 'outstanding', 'athlete', 'share', 'story', 'many', 'embrace', 'failure', 'point', 'learning', 'champion', 'taking', 'smart', 'risk', 'grow', 'register']",better way celebrate womenshistorymonth approaching paris2024 olympics listening outstanding athlete share story many embrace failure point learning 👑 taking smart risk grow register,hate,True,positive,Potential Mislabeling
TopPost,#parisolympics,07-08-2024,An unforgettable ending to a legendary career! #ParisOlympics41-year-old Cuban wrestler Mijain Lopez has become the first athlete in Olympic history to win five straight golds in one individual event.,153,830,100000,unforgettable ending legendary career parisolympics41yearold cuban wrestler mijain lopez become first athlete olympic history win straight gold individual event,"['unforgettable', 'ending', 'legendary', 'career', 'parisolympics41yearold', 'cuban', 'wrestler', 'mijain', 'lopez', 'become', 'first', 'athlete', 'olympic', 'history', 'win', 'straight', 'gold', 'individual', 'event']",unforgettable ending legendary career parisolympics41yearold cuban wrestler mijain lopez become first athlete olympic history 🏆 straight 🥇 individual event,hate,True,positive,Potential Mislabeling
TopPost,#paris2024,09-02-2024,Can't get enough of the beautiful and iconic Olympic medals for #Paris2024? Here's a closer behind-the-scenes look.  #RoadToParis2024,49,190,36000,cant get enough beautiful iconic olympic medal paris2024 here closer behindthescenes look roadtoparis2024,"['cant', 'get', 'enough', 'beautiful', 'iconic', 'olympic', 'medal', 'paris2024', 'here', 'closer', 'behindthescenes', 'look', 'roadtoparis2024']",cant get enough beautiful iconic olympic 🏅 paris2024 here closer behindthescenes look roadtoparis2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,BJP MP Hema Malini says Ã¢Â€ÂœVinesh Phogat will get nothing now.Ã¢Â€ÂLook at her weird smile while making such disgraceful remarks against an athlete representing India.Are BJP ministers happy with her disqualification because she protested against Modi?#Phogat_Vinesh #Olympics2024,311,924,77000,bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,"['bjp', 'mp', 'hema', 'malini', 'say', 'vinesh', 'phogat', 'get', 'nothing', 'nowlook', 'weird', 'smile', 'making', 'disgraceful', 'remark', 'athlete', 'representing', 'indiaare', 'bjp', 'minister', 'happy', 'disqualification', 'protested', 'modiphogatvinesh', 'olympics2024']",bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,hate,True,positive,Potential Mislabeling
TopPost,#olympics2024,07-08-2024,BJP MP Hema Malini says Ã¢Â€ÂœVinesh Phogat will get nothing now.Ã¢Â€ÂLook at her weird smile while making such disgraceful remarks against an athlete representing India.Are BJP ministers happy with her disqualification because she protested against Modi?#Phogat_Vinesh #Olympics2024,311,924,77000,bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,"['bjp', 'mp', 'hema', 'malini', 'say', 'vinesh', 'phogat', 'get', 'nothing', 'nowlook', 'weird', 'smile', 'making', 'disgraceful', 'remark', 'athlete', 'representing', 'indiaare', 'bjp', 'minister', 'happy', 'disqualification', 'protested', 'modiphogatvinesh', 'olympics2024']",bjp mp hema malini say vinesh phogat get nothing nowlook weird smile making disgraceful remark athlete representing indiaare bjp minister happy disqualification protested modiphogatvinesh olympics2024,hate,True,positive,Potential Mislabeling
